=== JETPACK MOVEMENT LOG ===
Application started: 2025-12-07 12:00:56
==================================================
[12:00:58] Monitoring 300 jetpacks in New York
[12:01:35] HOTEL-118 🚀 departing from NEW-P242
[12:01:35] DELTA-144 moving 🚀 Northeast (600 units)
[12:01:35] DELTA-144 🚀 heading to parking NEW-P54
[12:01:35] HOTEL-258 ✓ landed at NEW-P148 (parking for ~80s)
[12:01:35] ECHO-145 moving 🚀 South (557 units)
[12:01:35] ECHO-145 🚀 heading to parking NEW-P217
[12:01:35] CHARLIE-273 🚀 departing from NEW-P6
[12:01:35] JULIET-200 moving 🚀 Southeast (1204 units)
[12:01:35] JULIET-200 🚀 heading to parking NEW-P41
[12:01:35] HOTEL-288 moving 🚀 Southeast (206 units)
[12:01:35] HOTEL-118 moving 🚀 East (1372 units)
[12:01:35] HOTEL-118 🚀 heading to parking NEW-P45
[12:01:35] GOLF-137 moving 🚀 West (796 units)
[12:01:35] GOLF-137 🚀 heading to parking NEW-P214
[12:01:35] HOTEL-168 ✓ landed at NEW-P296 (parking for ~74s)
[12:01:35] HOTEL-188 ✓ landed at NEW-P86 (parking for ~82s)
[12:01:35] ECHO-175 🚀 departing from NEW-P233
[12:01:35] JULIET-170 🚀 departing from NEW-P236
[12:01:35] CHARLIE-273 moving 🚀 Northeast (740 units)
[12:01:35] CHARLIE-273 🚀 heading to parking NEW-P156
[12:01:36] ALPHA-71 🚀 departing from NEW-P1
[12:01:36] INDIA-149 ✓ landed at NEW-P136 (parking for ~50s)
[12:01:36] ALPHA-241 ✓ landed at NEW-P93 (parking for ~42s)
[12:01:36] ECHO-85 🚀 departing from NEW-P159
[12:01:36] INDIA-229 ✓ landed at NEW-P140 (parking for ~56s)
[12:01:36] BRAVO-272 moving 🚀 West (646 units)
[12:01:36] BRAVO-272 🚀 heading to parking NEW-P9
[12:01:36] JULIET-170 moving 🚀 Northwest (783 units)
[12:01:36] JULIET-170 🚀 heading to parking NEW-P198
[12:01:36] INDIA-69 moving 🚀 Southwest (1564 units)
[12:01:36] INDIA-69 🚀 heading to parking NEW-P238
[12:01:36] JULIET-10 moving 🚀 North (555 units)
[12:01:36] ALPHA-71 moving 🚀 West (1140 units)
[12:01:36] ALPHA-71 🚀 heading to parking NEW-P150
[12:01:36] ECHO-85 moving 🚀 Northeast (1162 units)
[12:01:36] ECHO-85 🚀 heading to parking NEW-P223
[12:01:36] JULIET-140 ✓ landed at NEW-P192 (parking for ~68s)
[12:01:36] FOXTROT-146 🚀 departing from NEW-P94
[12:01:36] BRAVO-162 🚀 departing from NEW-P87
[12:01:36] ECHO-175 moving 🚀 East (381 units)
[12:01:36] ECHO-175 🚀 heading to parking NEW-P9
[12:01:36] INDIA-199 ✓ landed at NEW-P144 (parking for ~60s)
[12:01:36] FOXTROT-206 ✓ landed at NEW-P20 (parking for ~88s)
[12:01:36] INDIA-219 🚀 departing from NEW-P60
[12:01:36] CHARLIE-223 ✓ landed at NEW-P196 (parking for ~32s)
[12:01:36] INDIA-19 moving 🚀 Southeast (1155 units)
[12:01:36] ECHO-75 🚀 departing from NEW-P268
[12:01:36] FOXTROT-146 moving 🚀 Southwest (197 units)
[12:01:36] FOXTROT-146 🚀 heading to parking NEW-P284
[12:01:36] ECHO-295 ✓ landed at NEW-P138 (parking for ~74s)
[12:01:36] BRAVO-2 moving 🚀 East (377 units)
[12:01:36] DELTA-254 🚀 departing from NEW-P26
[12:01:36] BRAVO-162 moving 🚀 East (174 units)
[12:01:36] BRAVO-162 🚀 heading to parking NEW-P215
[12:01:36] CHARLIE-163 ✓ landed at NEW-P85 (parking for ~90s)
[12:01:36] FOXTROT-246 ✓ landed at NEW-P142 (parking for ~38s)
[12:01:36] DELTA-254 moving 🚀 West (715 units)
[12:01:36] DELTA-254 🚀 heading to parking NEW-P284
[12:01:36] FOXTROT-266 🚀 departing from NEW-P108
[12:01:36] HOTEL-288 moving 🚀 West (987 units)
[12:01:36] HOTEL-288 🚀 heading to parking NEW-P226
[12:01:36] INDIA-139 🚀 departing from NEW-P92
[12:01:36] ECHO-185 🚀 departing from NEW-P266
[12:01:36] ECHO-75 moving 🚀 West (222 units)
[12:01:36] ECHO-75 🚀 heading to parking NEW-P118
[12:01:36] INDIA-139 moving 🚀 North (332 units)
[12:01:36] INDIA-139 🚀 heading to parking NEW-P44
[12:01:36] ECHO-195 🚀 departing from NEW-P52
[12:01:36] ECHO-185 moving 🚀 West (1178 units)
[12:01:36] ECHO-185 🚀 heading to parking NEW-P135
[12:01:36] BRAVO-282 ✓ landed at NEW-P42 (parking for ~36s)
[12:01:37] GOLF-147 🚀 departing from NEW-P128
[12:01:37] DELTA-194 ✓ landed at NEW-P217 (parking for ~52s)
[12:01:37] BRAVO-212 ✓ landed at NEW-P295 (parking for ~86s)
[12:01:37] ECHO-115 🚀 departing from NEW-P33
[12:01:37] HOTEL-218 ✓ landed at NEW-P220 (parking for ~36s)
[12:01:37] GOLF-227 ✓ landed at NEW-P82 (parking for ~30s)
[12:01:37] FOXTROT-266 moving 🚀 South (775 units)
[12:01:37] FOXTROT-266 🚀 heading to parking NEW-P103
[12:01:37] ALPHA-21 moving 🚀 East (355 units)
[12:01:37] INDIA-29 moving 🚀 Southwest (564 units)
[12:01:37] GOLF-147 moving 🚀 Northwest (326 units)
[12:01:37] GOLF-147 🚀 heading to parking NEW-P247
[12:01:37] FOXTROT-136 ✓ landed at NEW-P99 (parking for ~32s)
[12:01:37] ALPHA-241 🚀 departing from NEW-P93
[12:01:37] DELTA-274 🚀 departing from NEW-P248
[12:01:37] FOXTROT-286 ✓ landed at NEW-P49 (parking for ~68s)
[12:01:37] GOLF-157 ✓ landed at NEW-P82 (parking for ~60s)
[12:01:37] INDIA-219 moving 🚀 South (238 units)
[12:01:37] CHARLIE-193 🚀 departing from NEW-P170
[12:01:37] INDIA-219 moving 🚀 North (707 units)
[12:01:37] INDIA-219 🚀 heading to parking NEW-P218
[12:01:37] CHARLIE-263 🚀 departing from NEW-P35
[12:01:37] FOXTROT-196 🚀 departing from NEW-P296
[12:01:37] CHARLIE-223 🚀 departing from NEW-P196
[12:01:37] DELTA-274 moving 🚀 Northeast (1324 units)
[12:01:37] DELTA-274 🚀 heading to parking NEW-P219
[12:01:37] ECHO-45 ✓ landed at NEW-P137 (parking for ~44s)
[12:01:37] DELTA-114 ✓ landed at NEW-P150 (parking for ~42s)
[12:01:37] CHARLIE-133 ✓ landed at NEW-P73 (parking for ~30s)
[12:01:37] INDIA-149 🚀 departing from NEW-P136
[12:01:37] ECHO-195 moving 🚀 West (1022 units)
[12:01:37] ECHO-195 🚀 heading to parking NEW-P162
[12:01:37] CHARLIE-13 moving 🚀 Southwest (187 units)
[12:01:37] ECHO-115 moving 🚀 North (251 units)
[12:01:37] ECHO-115 🚀 heading to parking NEW-P255
[12:01:37] FOXTROT-176 ✓ landed at NEW-P84 (parking for ~58s)
[12:01:37] FOXTROT-196 moving 🚀 East (847 units)
[12:01:37] FOXTROT-196 🚀 heading to parking NEW-P145
[12:01:37] CHARLIE-223 moving 🚀 North (181 units)
[12:01:37] CHARLIE-223 🚀 heading to parking NEW-P180
[12:01:37] FOXTROT-46 ✓ landed at NEW-P97 (parking for ~46s)
[12:01:37] INDIA-149 moving 🚀 West (625 units)
[12:01:37] INDIA-149 🚀 heading to parking NEW-P92
[12:01:37] INDIA-179 ✓ landed at NEW-P55 (parking for ~60s)
[12:01:37] CHARLIE-193 moving 🚀 Northwest (977 units)
[12:01:37] CHARLIE-193 🚀 heading to parking NEW-P279
[12:01:37] INDIA-229 🚀 departing from NEW-P140
[12:01:37] DELTA-4 moving 🚀 West (732 units)
[12:01:37] ALPHA-241 moving 🚀 West (956 units)
[12:01:37] ALPHA-241 🚀 heading to parking NEW-P190
[12:01:37] FOXTROT-246 🚀 departing from NEW-P142
[12:01:37] CHARLIE-263 moving 🚀 West (871 units)
[12:01:37] CHARLIE-263 🚀 heading to parking NEW-P135
[12:01:37] HOTEL-108 ✓ landed at NEW-P203 (parking for ~62s)
[12:01:37] GOLF-127 ✓ landed at NEW-P203 (parking for ~70s)
[12:01:37] HOTEL-258 🚀 departing from NEW-P148
[12:01:37] INDIA-9 moving 🚀 West (1005 units)
[12:01:37] DELTA-24 moving 🚀 East (885 units)
[12:01:37] HOTEL-168 🚀 departing from NEW-P296
[12:01:37] GOLF-227 🚀 departing from NEW-P82
[12:01:37] FOXTROT-246 moving 🚀 Northeast (711 units)
[12:01:37] FOXTROT-246 🚀 heading to parking NEW-P211
[12:01:37] GOLF-207 ✓ landed at NEW-P97 (parking for ~30s)
[12:01:37] HOTEL-258 moving 🚀 North (450 units)
[12:01:37] HOTEL-258 🚀 heading to parking NEW-P68
[12:01:37] BRAVO-282 🚀 departing from NEW-P42
[12:01:38] HOTEL-168 moving 🚀 Southeast (1118 units)
[12:01:38] HOTEL-168 🚀 heading to parking NEW-P18
[12:01:38] INDIA-209 🚀 departing from NEW-P276
[12:01:38] BRAVO-282 moving 🚀 Southeast (728 units)
[12:01:38] BRAVO-282 🚀 heading to parking NEW-P6
[12:01:38] HOTEL-218 🚀 departing from NEW-P220
[12:01:38] CHARLIE-293 ✓ landed at NEW-P197 (parking for ~36s)
[12:01:38] FOXTROT-136 🚀 departing from NEW-P99
[12:01:38] HOTEL-188 🚀 departing from NEW-P86
[12:01:38] HOTEL-218 moving 🚀 Northeast (563 units)
[12:01:38] HOTEL-218 🚀 heading to parking NEW-P256
[12:01:38] INDIA-229 moving 🚀 Southeast (223 units)
[12:01:38] INDIA-229 🚀 heading to parking NEW-P116
[12:01:38] INDIA-279 ✓ landed at NEW-P29 (parking for ~56s)
[12:01:38] INDIA-199 🚀 departing from NEW-P144
[12:01:38] FOXTROT-136 moving 🚀 East (578 units)
[12:01:38] FOXTROT-136 🚀 heading to parking NEW-P1
[12:01:38] CHARLIE-133 🚀 departing from NEW-P73
[12:01:38] CHARLIE-203 ✓ landed at NEW-P123 (parking for ~32s)
[12:01:38] INDIA-209 moving 🚀 East (370 units)
[12:01:38] INDIA-209 🚀 heading to parking NEW-P225
[12:01:38] HOTEL-8 moving 🚀 West (678 units)
[12:01:38] JULIET-140 🚀 departing from NEW-P192
[12:01:38] INDIA-199 moving 🚀 Northwest (1620 units)
[12:01:38] INDIA-199 🚀 heading to parking NEW-P262
[12:01:38] HOTEL-68 ✓ landed at NEW-P117 (parking for ~74s)
[12:01:38] ALPHA-191 ✓ landed at NEW-P121 (parking for ~90s)
[12:01:38] FOXTROT-296 ✓ landed at NEW-P223 (parking for ~30s)
[12:01:38] DELTA-194 🚀 departing from NEW-P217
[12:01:38] FOXTROT-256 ✓ landed at NEW-P174 (parking for ~86s)
[12:01:38] DELTA-114 🚀 departing from NEW-P150
[12:01:38] ECHO-265 ✓ landed at NEW-P77 (parking for ~68s)
[12:01:38] ECHO-295 🚀 departing from NEW-P138
[12:01:38] ECHO-45 🚀 departing from NEW-P137
[12:01:38] CHARLIE-133 moving 🚀 Northeast (847 units)
[12:01:38] CHARLIE-133 🚀 heading to parking NEW-P201
[12:01:38] JULIET-140 moving 🚀 Northwest (767 units)
[12:01:38] JULIET-140 🚀 heading to parking NEW-P177
[12:01:38] GOLF-227 moving 🚀 Southeast (1086 units)
[12:01:38] DELTA-194 moving 🚀 West (516 units)
[12:01:38] DELTA-194 🚀 heading to parking NEW-P106
[12:01:38] GOLF-227 moving 🚀 East (189 units)
[12:01:38] GOLF-227 🚀 heading to parking NEW-P44
[12:01:38] ECHO-295 moving 🚀 Northwest (516 units)
[12:01:38] ECHO-295 🚀 heading to parking NEW-P280
[12:01:38] INDIA-99 ✓ landed at NEW-P247 (parking for ~34s)
[12:01:38] HOTEL-188 moving 🚀 Southwest (1046 units)
[12:01:38] HOTEL-188 🚀 heading to parking NEW-P195
[12:01:38] GOLF-207 🚀 departing from NEW-P97
[12:01:38] DELTA-234 ✓ landed at NEW-P100 (parking for ~80s)
[12:01:38] JULIET-300 ✓ landed at NEW-P279 (parking for ~42s)
[12:01:38] ECHO-45 moving 🚀 West (827 units)
[12:01:38] ECHO-45 🚀 heading to parking NEW-P38
[12:01:38] GOLF-207 moving 🚀 Southwest (1026 units)
[12:01:38] GOLF-207 🚀 heading to parking NEW-P155
[12:01:38] JULIET-270 ✓ landed at NEW-P36 (parking for ~72s)
[12:01:39] FOXTROT-46 🚀 departing from NEW-P97
[12:01:39] GOLF-157 🚀 departing from NEW-P82
[12:01:39] FOXTROT-206 🚀 departing from NEW-P20
[12:01:39] GOLF-247 ✓ landed at NEW-P237 (parking for ~40s)
[12:01:39] DELTA-34 moving 🚀 West (752 units)
[12:01:39] BRAVO-222 ✓ landed at NEW-P223 (parking for ~66s)
[12:01:39] CHARLIE-293 🚀 departing from NEW-P197
[12:01:39] FOXTROT-286 🚀 departing from NEW-P49
[12:01:39] CHARLIE-63 ✓ landed at NEW-P57 (parking for ~82s)
[12:01:39] FOXTROT-176 🚀 departing from NEW-P84
[12:01:39] CHARLIE-203 🚀 departing from NEW-P123
[12:01:39] CHARLIE-293 moving 🚀 Southwest (424 units)
[12:01:39] CHARLIE-293 🚀 heading to parking NEW-P194
[12:01:39] CHARLIE-163 🚀 departing from NEW-P85
[12:01:39] BRAVO-252 ✓ landed at NEW-P50 (parking for ~30s)
[12:01:39] ALPHA-291 ✓ landed at NEW-P2 (parking for ~82s)
[12:01:39] FOXTROT-296 🚀 departing from NEW-P223
[12:01:39] HOTEL-158 ✓ landed at NEW-P190 (parking for ~74s)
[12:01:39] FOXTROT-46 moving 🚀 Southwest (791 units)
[12:01:39] FOXTROT-46 🚀 heading to parking NEW-P244
[12:01:39] DELTA-114 moving 🚀 South (289 units)
[12:01:39] INDIA-179 🚀 departing from NEW-P55
[12:01:39] JULIET-110 ✓ landed at NEW-P87 (parking for ~58s)
[12:01:39] CHARLIE-163 moving 🚀 South (888 units)
[12:01:39] CHARLIE-163 🚀 heading to parking NEW-P220
[12:01:39] BRAVO-212 🚀 departing from NEW-P295
[12:01:39] HOTEL-178 ✓ landed at NEW-P169 (parking for ~86s)
[12:01:39] BRAVO-212 moving 🚀 North (207 units)
[12:01:39] BRAVO-212 🚀 heading to parking NEW-P243
[12:01:39] FOXTROT-286 moving 🚀 South (414 units)
[12:01:39] FOXTROT-286 🚀 heading to parking NEW-P197
[12:01:39] FOXTROT-296 moving 🚀 West (872 units)
[12:01:39] FOXTROT-296 🚀 heading to parking NEW-P58
[12:01:39] HOTEL-108 🚀 departing from NEW-P203
[12:01:39] CHARLIE-203 moving 🚀 Southwest (896 units)
[12:01:39] CHARLIE-203 🚀 heading to parking NEW-P107
[12:01:39] BRAVO-262 ✓ landed at NEW-P192 (parking for ~30s)
[12:01:39] GOLF-157 moving 🚀 Southwest (323 units)
[12:01:39] GOLF-157 🚀 heading to parking NEW-P264
[12:01:39] INDIA-279 🚀 departing from NEW-P29
[12:01:39] ECHO-65 ✓ landed at NEW-P146 (parking for ~64s)
[12:01:39] INDIA-99 🚀 departing from NEW-P247
[12:01:39] HOTEL-108 moving 🚀 West (195 units)
[12:01:39] HOTEL-108 🚀 heading to parking NEW-P167
[12:01:39] FOXTROT-206 moving 🚀 Southwest (573 units)
[12:01:39] GOLF-127 🚀 departing from NEW-P203
[12:01:39] INDIA-179 moving 🚀 East (1236 units)
[12:01:39] INDIA-179 🚀 heading to parking NEW-P113
[12:01:39] ALPHA-281 ✓ landed at NEW-P51 (parking for ~88s)
[12:01:39] INDIA-99 moving 🚀 Southwest (1097 units)
[12:01:39] INDIA-99 🚀 heading to parking NEW-P133
[12:01:39] FOXTROT-176 moving 🚀 Northeast (975 units)
[12:01:39] JULIET-300 🚀 departing from NEW-P279
[12:01:40] ALPHA-141 ✓ landed at NEW-P51 (parking for ~30s)
[12:01:40] FOXTROT-86 ✓ landed at NEW-P241 (parking for ~80s)
[12:01:40] GOLF-247 🚀 departing from NEW-P237
[12:01:40] BRAVO-252 🚀 departing from NEW-P50
[12:01:40] HOTEL-268 ✓ landed at NEW-P83 (parking for ~86s)
[12:01:40] JULIET-300 moving 🚀 Southwest (868 units)
[12:01:40] JULIET-300 🚀 heading to parking NEW-P110
[12:01:40] BRAVO-72 ✓ landed at NEW-P97 (parking for ~76s)
[12:01:40] GOLF-87 ✓ landed at NEW-P147 (parking for ~54s)
[12:01:40] DELTA-114 moving 🚀 Southeast (439 units)
[12:01:40] DELTA-114 🚀 heading to parking NEW-P290
[12:01:40] BRAVO-252 moving 🚀 South (411 units)
[12:01:40] BRAVO-252 🚀 heading to parking NEW-P133
[12:01:40] FOXTROT-176 moving 🚀 East (466 units)
[12:01:40] FOXTROT-176 🚀 heading to parking NEW-P195
[12:01:40] BRAVO-82 ✓ landed at NEW-P76 (parking for ~52s)
[12:01:40] CHARLIE-143 ✓ landed at NEW-P161 (parking for ~80s)
[12:01:40] INDIA-279 moving 🚀 Northwest (1421 units)
[12:01:40] HOTEL-58 ✓ landed at NEW-P106 (parking for ~44s)
[12:01:40] JULIET-60 ✓ landed at NEW-P266 (parking for ~72s)
[12:01:40] HOTEL-68 🚀 departing from NEW-P117
[12:01:40] FOXTROT-206 moving 🚀 Southeast (97 units)
[12:01:40] FOXTROT-206 🚀 heading to parking NEW-P41
[12:01:40] DELTA-214 ✓ landed at NEW-P102 (parking for ~58s)
[12:01:40] GOLF-247 moving 🚀 West (685 units)
[12:01:40] GOLF-247 🚀 heading to parking NEW-P175
[12:01:40] BRAVO-262 🚀 departing from NEW-P192
[12:01:40] BRAVO-52 ✓ landed at NEW-P298 (parking for ~76s)
[12:01:40] DELTA-54 ✓ landed at NEW-P144 (parking for ~30s)
[12:01:40] BRAVO-262 moving 🚀 North (886 units)
[12:01:40] BRAVO-262 🚀 heading to parking NEW-P96
[12:01:40] ECHO-265 🚀 departing from NEW-P77
[12:01:40] HOTEL-68 moving 🚀 Southwest (741 units)
[12:01:40] HOTEL-68 🚀 heading to parking NEW-P287
[12:01:40] GOLF-127 moving 🚀 Northeast (695 units)
[12:01:40] GOLF-297 ✓ landed at NEW-P94 (parking for ~82s)
[12:01:40] ALPHA-201 ✓ landed at NEW-P15 (parking for ~72s)
[12:01:40] INDIA-279 moving 🚀 Northwest (1024 units)
[12:01:40] INDIA-279 🚀 heading to parking NEW-P23
[12:01:40] ALPHA-141 🚀 departing from NEW-P51
[12:01:40] BRAVO-162 ✓ landed at NEW-P215 (parking for ~88s)
[12:01:40] FOXTROT-256 🚀 departing from NEW-P174
[12:01:40] ECHO-265 moving 🚀 Northeast (277 units)
[12:01:40] ECHO-265 🚀 heading to parking NEW-P285
[12:01:40] JULIET-270 🚀 departing from NEW-P36
[12:01:40] DELTA-124 ✓ landed at NEW-P66 (parking for ~42s)
[12:01:40] GOLF-127 moving 🚀 North (326 units)
[12:01:40] GOLF-127 🚀 heading to parking NEW-P23
[12:01:40] ALPHA-191 🚀 departing from NEW-P121
[12:01:40] BRAVO-222 🚀 departing from NEW-P223
[12:01:40] JULIET-120 ✓ landed at NEW-P240 (parking for ~34s)
[12:01:40] ALPHA-141 moving 🚀 East (1289 units)
[12:01:40] ALPHA-141 🚀 heading to parking NEW-P263
[12:01:40] JULIET-270 moving 🚀 Southwest (324 units)
[12:01:40] JULIET-270 🚀 heading to parking NEW-P91
[12:01:41] JULIET-110 🚀 departing from NEW-P87
[12:01:41] ALPHA-191 moving 🚀 Northeast (526 units)
[12:01:41] ALPHA-191 🚀 heading to parking NEW-P99
[12:01:41] DELTA-234 🚀 departing from NEW-P100
[12:01:41] JULIET-110 moving 🚀 West (931 units)
[12:01:41] JULIET-110 🚀 heading to parking NEW-P10
[12:01:41] DELTA-234 moving 🚀 West (234 units)
[12:01:41] DELTA-234 🚀 heading to parking NEW-P14
[12:01:41] FOXTROT-256 moving 🚀 West (588 units)
[12:01:41] FOXTROT-256 🚀 heading to parking NEW-P39
[12:01:41] FOXTROT-156 ✓ landed at NEW-P288 (parking for ~46s)
[12:01:41] FOXTROT-146 ✓ landed at NEW-P284 (parking for ~78s)
[12:01:41] DELTA-54 🚀 departing from NEW-P144
[12:01:41] DELTA-74 ✓ landed at NEW-P129 (parking for ~86s)
[12:01:41] HOTEL-158 🚀 departing from NEW-P190
[12:01:41] CHARLIE-183 ✓ landed at NEW-P57 (parking for ~56s)
[12:01:41] CHARLIE-63 🚀 departing from NEW-P57
[12:01:41] ECHO-65 🚀 departing from NEW-P146
[12:01:41] DELTA-164 ✓ landed at NEW-P174 (parking for ~52s)
[12:01:41] ALPHA-291 🚀 departing from NEW-P2
[12:01:41] BRAVO-192 ✓ landed at NEW-P287 (parking for ~36s)
[12:01:41] HOTEL-248 ✓ landed at NEW-P106 (parking for ~78s)
[12:01:41] GOLF-87 🚀 departing from NEW-P147
[12:01:41] HOTEL-58 🚀 departing from NEW-P106
[12:01:41] BRAVO-222 moving 🚀 South (766 units)
[12:01:41] DELTA-54 moving 🚀 Northwest (880 units)
[12:01:41] DELTA-54 🚀 heading to parking NEW-P221
[12:01:41] CHARLIE-63 moving 🚀 East (776 units)
[12:01:41] CHARLIE-63 🚀 heading to parking NEW-P224
[12:01:41] ECHO-65 moving 🚀 Northwest (91 units)
[12:01:41] ECHO-65 🚀 heading to parking NEW-P162
[12:01:41] HOTEL-158 moving 🚀 Northeast (388 units)
[12:01:41] HOTEL-158 🚀 heading to parking NEW-P49
[12:01:41] FOXTROT-16 moving 🚀 East (1002 units)
[12:01:41] BRAVO-82 🚀 departing from NEW-P76
[12:01:41] ALPHA-271 ✓ landed at NEW-P132 (parking for ~68s)
[12:01:41] HOTEL-178 🚀 departing from NEW-P169
[12:01:41] ECHO-205 ✓ landed at NEW-P261 (parking for ~56s)
[12:01:41] ALPHA-291 moving 🚀 West (977 units)
[12:01:41] ALPHA-291 🚀 heading to parking NEW-P199
[12:01:41] JULIET-120 🚀 departing from NEW-P240
[12:01:41] JULIET-120 moving 🚀 East (1085 units)
[12:01:41] JULIET-120 🚀 heading to parking NEW-P169
[12:01:41] HOTEL-178 moving 🚀 West (663 units)
[12:01:41] HOTEL-178 🚀 heading to parking NEW-P127
[12:01:41] CHARLIE-223 ✓ landed at NEW-P180 (parking for ~44s)
[12:01:42] GOLF-87 moving 🚀 East (714 units)
[12:01:42] GOLF-87 🚀 heading to parking NEW-P245
[12:01:42] BRAVO-222 moving 🚀 West (678 units)
[12:01:42] BRAVO-222 🚀 heading to parking NEW-P49
[12:01:42] DELTA-124 🚀 departing from NEW-P66
[12:01:42] DELTA-214 🚀 departing from NEW-P102
[12:01:42] HOTEL-58 moving 🚀 Northwest (273 units)
[12:01:42] HOTEL-58 🚀 heading to parking NEW-P198
[12:01:42] DELTA-214 moving 🚀 East (436 units)
[12:01:42] DELTA-214 🚀 heading to parking NEW-P81
[12:01:42] FOXTROT-236 ✓ landed at NEW-P52 (parking for ~54s)
[12:01:42] BRAVO-72 🚀 departing from NEW-P97
[12:01:42] DELTA-104 ✓ landed at NEW-P161 (parking for ~36s)
[12:01:42] ALPHA-281 🚀 departing from NEW-P51
[12:01:42] ECHO-75 ✓ landed at NEW-P118 (parking for ~60s)
[12:01:42] FOXTROT-86 🚀 departing from NEW-P241
[12:01:42] ECHO-105 ✓ landed at NEW-P174 (parking for ~76s)
[12:01:42] DELTA-124 moving 🚀 East (356 units)
[12:01:42] DELTA-124 🚀 heading to parking NEW-P207
[12:01:42] FOXTROT-206 ✓ landed at NEW-P41 (parking for ~88s)
[12:01:42] CHARLIE-53 ✓ landed at NEW-P110 (parking for ~64s)
[12:01:42] JULIET-60 🚀 departing from NEW-P266
[12:01:42] FOXTROT-156 🚀 departing from NEW-P288
[12:01:42] HOTEL-268 🚀 departing from NEW-P83
[12:01:42] ALPHA-131 ✓ landed at NEW-P22 (parking for ~80s)
[12:01:42] BRAVO-82 moving 🚀 Southeast (759 units)
[12:01:42] CHARLIE-143 🚀 departing from NEW-P161
[12:01:42] BRAVO-192 🚀 departing from NEW-P287
[12:01:42] BRAVO-52 🚀 departing from NEW-P298
[12:01:42] BRAVO-192 moving 🚀 West (564 units)
[12:01:42] BRAVO-192 🚀 heading to parking NEW-P95
[12:01:42] JULIET-240 ✓ landed at NEW-P33 (parking for ~52s)
[12:01:42] JULIET-280 ✓ landed at NEW-P1 (parking for ~32s)
[12:01:42] ALPHA-281 moving 🚀 North (484 units)
[12:01:42] ALPHA-281 🚀 heading to parking NEW-P67
[12:01:42] ALPHA-201 🚀 departing from NEW-P15
[12:01:42] CHARLIE-13 moving 🚀 North (644 units)
[12:01:42] GOLF-117 ✓ landed at NEW-P272 (parking for ~68s)
[12:01:42] CHARLIE-143 moving 🚀 Northeast (194 units)
[12:01:42] CHARLIE-143 🚀 heading to parking NEW-P58
[12:01:42] ALPHA-151 ✓ landed at NEW-P48 (parking for ~68s)
[12:01:42] DELTA-204 ✓ landed at NEW-P134 (parking for ~34s)
[12:01:42] FOXTROT-86 moving 🚀 Northwest (440 units)
[12:01:42] FOXTROT-86 🚀 heading to parking NEW-P240
[12:01:42] CHARLIE-123 ✓ landed at NEW-P14 (parking for ~68s)
[12:01:42] INDIA-49 ✓ landed at NEW-P105 (parking for ~70s)
[12:01:42] BRAVO-72 moving 🚀 West (887 units)
[12:01:42] BRAVO-72 🚀 heading to parking NEW-P153
[12:01:42] DELTA-94 ✓ landed at NEW-P212 (parking for ~86s)
[12:01:42] ECHO-155 ✓ landed at NEW-P55 (parking for ~48s)
[12:01:42] HOTEL-268 moving 🚀 Southwest (478 units)
[12:01:42] HOTEL-268 🚀 heading to parking NEW-P228
[12:01:42] BRAVO-52 moving 🚀 Northwest (786 units)
[12:01:42] BRAVO-52 🚀 heading to parking NEW-P3
[12:01:42] CHARLIE-73 ✓ landed at NEW-P197 (parking for ~48s)
[12:01:42] BRAVO-82 moving 🚀 Southwest (406 units)
[12:01:42] BRAVO-82 🚀 heading to parking NEW-P233
[12:01:42] GOLF-297 🚀 departing from NEW-P94
[12:01:42] DELTA-164 🚀 departing from NEW-P174
[12:01:42] BRAVO-182 ✓ landed at NEW-P247 (parking for ~32s)
[12:01:42] CHARLIE-183 🚀 departing from NEW-P57
[12:01:42] GOLF-297 moving 🚀 South (619 units)
[12:01:42] GOLF-297 🚀 heading to parking NEW-P122
[12:01:43] GOLF-197 ✓ landed at NEW-P174 (parking for ~74s)
[12:01:43] ALPHA-221 ✓ landed at NEW-P16 (parking for ~32s)
[12:01:43] JULIET-60 moving 🚀 South (1008 units)
[12:01:43] FOXTROT-156 moving 🚀 North (765 units)
[12:01:43] FOXTROT-156 🚀 heading to parking NEW-P171
[12:01:43] CHARLIE-223 🚀 departing from NEW-P180
[12:01:43] GOLF-227 ✓ landed at NEW-P44 (parking for ~86s)
[12:01:43] JULIET-60 moving 🚀 West (861 units)
[12:01:43] JULIET-60 🚀 heading to parking NEW-P28
[12:01:43] DELTA-104 🚀 departing from NEW-P161
[12:01:43] BRAVO-172 ✓ landed at NEW-P248 (parking for ~74s)
[12:01:43] ALPHA-201 moving 🚀 East (926 units)
[12:01:43] BRAVO-162 🚀 departing from NEW-P215
[12:01:43] CHARLIE-223 moving 🚀 Northeast (1207 units)
[12:01:43] CHARLIE-223 🚀 heading to parking NEW-P117
[12:01:43] INDIA-119 ✓ landed at NEW-P287 (parking for ~84s)
[12:01:43] ECHO-205 🚀 departing from NEW-P261
[12:01:43] FOXTROT-146 🚀 departing from NEW-P284
[12:01:43] ECHO-205 moving 🚀 Northwest (844 units)
[12:01:43] ECHO-205 🚀 heading to parking NEW-P224
[12:01:43] JULIET-20 moving 🚀 South (411 units)
[12:01:43] ECHO-65 ✓ landed at NEW-P162 (parking for ~40s)
[12:01:43] DELTA-164 moving 🚀 Southwest (589 units)
[12:01:43] BRAVO-202 ✓ landed at NEW-P99 (parking for ~68s)
