=== RADAR COMMUNICATIONS LOG ===
City: New York
Application started: 2025-12-10 16:33:41
==================================================
[16:33:48] Radar communication initialized for New York
[16:36:15] ⚠️ CRITICAL: Sarah #5 and Amanda #5 are 43.8 units apart - COLLISION RISK!
[16:36:15] ⚠️ CRITICAL: Sarah #5 and Lisa #5 are 27.0 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: Sarah #5 and Jane #8 are 84.9 units apart
[16:36:15] ⚠️ CRITICAL: David #5 and Amanda #5 are 25.1 units apart - COLLISION RISK!
[16:36:15] ⚠️ CRITICAL: David #5 and Lisa #5 are 36.4 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: David #5 and Jane #8 are 83.9 units apart
[16:36:15] ⚠️ Warning: David #5 and Robert #9 are 95.6 units apart
[16:36:15] ⚠️ CRITICAL: Emily #5 and Jane #6 are 47.1 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: Emily #5 and Lisa #9 are 98.7 units apart
[16:36:15] ⚠️ Warning: Emily #5 and Lisa #10 are 62.6 units apart
[16:36:15] ⚠️ CRITICAL: Amanda #5 and Lisa #5 are 16.8 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: Amanda #5 and Jane #8 are 63.9 units apart
[16:36:15] ⚠️ Warning: Robert #5 and Sarah #8 are 67.6 units apart
[16:36:15] ⚠️ Warning: Robert #5 and Amanda #9 are 95.3 units apart
[16:36:15] ⚠️ Warning: Robert #5 and David #10 are 94.6 units apart
[16:36:15] ⚠️ Warning: Lisa #5 and Jane #8 are 69.9 units apart
[16:36:15] ⚠️ CRITICAL: John #6 and Chris #6 are 36.7 units apart - COLLISION RISK!
[16:36:15] ⚠️ CRITICAL: John #6 and Michael #9 are 22.1 units apart - COLLISION RISK!
[16:36:15] ⚠️ CRITICAL: John #6 and Sarah #10 are 42.5 units apart - COLLISION RISK!
[16:36:15] ⚠️ CRITICAL: Jane #6 and Lisa #10 are 31.6 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: Michael #6 and Lisa #6 are 89.8 units apart
[16:36:15] ⚠️ CRITICAL: Michael #6 and Jane #10 are 38.9 units apart - COLLISION RISK!
[16:36:15] ⚠️ CRITICAL: Michael #6 and Chris #10 are 44.5 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: Sarah #6 and Jane #10 are 88.5 units apart
[16:36:15] ⚠️ Warning: Sarah #6 and Chris #10 are 71.1 units apart
[16:36:15] ⚠️ CRITICAL: David #6 and Robert #6 are 42.7 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: David #6 and Jane #7 are 53.0 units apart
[16:36:15] ⚠️ CRITICAL: David #6 and Chris #7 are 33.6 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: David #6 and John #8 are 91.0 units apart
[16:36:15] ⚠️ CRITICAL: David #6 and Emily #8 are 39.9 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: David #6 and John #10 are 55.6 units apart
[16:36:15] ⚠️ Warning: Emily #6 and Robert #7 are 88.2 units apart
[16:36:15] ⚠️ CRITICAL: Emily #6 and Jane #9 are 31.6 units apart - COLLISION RISK!
[16:36:15] ⚠️ CRITICAL: Emily #6 and Robert #10 are 31.2 units apart - COLLISION RISK!
[16:36:15] ⚠️ CRITICAL: Chris #6 and Michael #9 are 41.7 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: Chris #6 and Sarah #10 are 57.2 units apart
[16:36:15] ⚠️ Warning: Amanda #6 and David #8 are 64.4 units apart
[16:36:15] ⚠️ Warning: Amanda #6 and Lisa #8 are 94.7 units apart
[16:36:15] ⚠️ Warning: Robert #6 and Jane #7 are 93.7 units apart
[16:36:15] ⚠️ Warning: Robert #6 and Chris #7 are 76.0 units apart
[16:36:15] ⚠️ Warning: Robert #6 and John #8 are 50.3 units apart
[16:36:15] ⚠️ CRITICAL: Robert #6 and Emily #8 are 48.5 units apart - COLLISION RISK!
[16:36:15] ⚠️ CRITICAL: Robert #6 and John #10 are 21.5 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: Lisa #6 and John #8 are 82.7 units apart
[16:36:15] ⚠️ Warning: Lisa #6 and John #10 are 87.7 units apart
[16:36:15] ⚠️ Warning: Lisa #6 and Chris #10 are 80.5 units apart
[16:36:15] ⚠️ Warning: John #7 and David #9 are 73.2 units apart
[16:36:15] ⚠️ CRITICAL: Jane #7 and Chris #7 are 22.1 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: Jane #7 and Emily #8 are 63.5 units apart
[16:36:15] ⚠️ Warning: Jane #7 and Lisa #9 are 71.2 units apart
[16:36:15] ⚠️ CRITICAL: Sarah #7 and Chris #9 are 21.4 units apart - COLLISION RISK!
[16:36:15] ⚠️ CRITICAL: David #7 and John #9 are 37.8 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: Chris #7 and Emily #8 are 56.2 units apart
[16:36:15] ⚠️ Warning: Chris #7 and Lisa #9 are 72.7 units apart
[16:36:15] ⚠️ Warning: Chris #7 and John #10 are 88.7 units apart
[16:36:15] ⚠️ Warning: Amanda #7 and Jane #8 are 80.7 units apart
[16:36:15] ⚠️ Warning: Amanda #7 and David #9 are 80.8 units apart
[16:36:15] ⚠️ Warning: Amanda #7 and Amanda #10 are 82.1 units apart
[16:36:15] ⚠️ Warning: Robert #7 and Robert #8 are 82.8 units apart
[16:36:15] ⚠️ Warning: Robert #7 and Jane #9 are 89.5 units apart
[16:36:15] ⚠️ Warning: Robert #7 and Emily #9 are 58.6 units apart
[16:36:15] ⚠️ Warning: Robert #7 and Robert #10 are 58.7 units apart
[16:36:15] ⚠️ Warning: John #8 and Emily #8 are 78.5 units apart
[16:36:15] ⚠️ Warning: John #8 and John #10 are 53.8 units apart
[16:36:15] ⚠️ Warning: Jane #8 and Amanda #10 are 97.1 units apart
[16:36:15] ⚠️ CRITICAL: Michael #8 and Amanda #8 are 28.0 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: Sarah #8 and David #10 are 81.2 units apart
[16:36:15] ⚠️ CRITICAL: David #8 and Lisa #8 are 34.8 units apart - COLLISION RISK!
[16:36:15] ⚠️ Warning: David #8 and Amanda #9 are 66.7 units apart
[16:36:15] ⚠️ Warning: Emily #8 and John #10 are 69.7 units apart
[16:36:15] ⚠️ Warning: Chris #8 and Robert #8 are 67.9 units apart
[16:36:15] ⚠️ Warning: Lisa #8 and Amanda #9 are 61.5 units apart
[16:36:15] ⚠️ CRITICAL: Jane #9 and Robert #10 are 34.6 units apart - COLLISION RISK!
[16:36:15] ⚠️ CRITICAL: Michael #9 and Sarah #10 are 20.7 units apart - COLLISION RISK!
[16:36:16] ⚠️ Warning: Chris #9 and Michael #10 are 84.1 units apart
[16:36:16] ⚠️ CRITICAL: Jane #10 and Chris #10 are 38.4 units apart - COLLISION RISK!
[16:36:16] David #5 moving 🚀 East (608 units)
[16:36:16] David #3 moving 🚀 East (907 units)
[16:36:16] Robert #5 moving 🚀 Southwest (830 units)
[16:36:17] Amanda #9 moving 🚀 Southwest (912 units)
[16:36:17] ⚠️ CRITICAL: John #1 and David #5 are 41.6 units apart - COLLISION RISK!
[16:36:17] ⚠️ CRITICAL: John #1 and Amanda #5 are 20.1 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: John #1 and Jane #8 are 89.2 units apart
[16:36:17] ⚠️ Warning: John #1 and Robert #9 are 85.6 units apart
[16:36:17] ⚠️ Warning: Jane #1 and Emily #2 are 89.8 units apart
[16:36:17] ⚠️ Warning: Jane #1 and Michael #3 are 64.6 units apart
[16:36:17] ⚠️ Warning: Jane #1 and Chris #3 are 97.1 units apart
[16:36:17] ⚠️ CRITICAL: Jane #1 and Robert #3 are 34.9 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: Jane #1 and Michael #7 are 76.1 units apart
[16:36:17] ⚠️ CRITICAL: Jane #1 and Lisa #7 are 43.4 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: Michael #1 and Michael #2 are 71.9 units apart
[16:36:17] ⚠️ Warning: Michael #1 and Amanda #2 are 90.5 units apart
[16:36:17] ⚠️ CRITICAL: Michael #1 and Lisa #2 are 4.9 units apart - COLLISION RISK!
[16:36:17] ⚠️ CRITICAL: Michael #1 and Amanda #4 are 8.2 units apart - COLLISION RISK!
[16:36:17] ⚠️ CRITICAL: Michael #1 and Robert #8 are 38.5 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: Sarah #1 and Lisa #1 are 77.7 units apart
[16:36:17] ⚠️ Warning: Sarah #1 and Chris #2 are 73.9 units apart
[16:36:17] ⚠️ Warning: Sarah #1 and Jane #5 are 87.2 units apart
[16:36:17] ⚠️ Warning: Sarah #1 and Robert #5 are 54.4 units apart
[16:36:17] ⚠️ Warning: Sarah #1 and Sarah #8 are 50.1 units apart
[16:36:17] ⚠️ Warning: Sarah #1 and David #10 are 87.8 units apart
[16:36:17] ⚠️ CRITICAL: David #1 and Chris #1 are 42.1 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: David #1 and Sarah #4 are 70.6 units apart
[16:36:17] ⚠️ CRITICAL: David #1 and Michael #8 are 46.2 units apart - COLLISION RISK!
[16:36:17] ⚠️ CRITICAL: David #1 and Amanda #8 are 45.9 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: David #1 and Jane #9 are 97.3 units apart
[16:36:17] ⚠️ Warning: Emily #1 and Robert #2 are 75.9 units apart
[16:36:17] ⚠️ CRITICAL: Emily #1 and Emily #5 are 18.6 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: Emily #1 and Jane #6 are 92.9 units apart
[16:36:17] ⚠️ Warning: Emily #1 and Robert #6 are 82.0 units apart
[16:36:17] ⚠️ Warning: Emily #1 and Jane #7 are 63.7 units apart
[16:36:17] ⚠️ Warning: Emily #1 and Lisa #9 are 97.7 units apart
[16:36:17] ⚠️ Warning: Chris #1 and Michael #8 are 79.7 units apart
[16:36:17] ⚠️ Warning: Chris #1 and Amanda #8 are 81.4 units apart
[16:36:17] ⚠️ Warning: Chris #1 and Jane #9 are 56.2 units apart
[16:36:17] ⚠️ Warning: Chris #1 and Robert #10 are 91.2 units apart
[16:36:17] ⚠️ Warning: Amanda #1 and Michael #2 are 55.6 units apart
[16:36:17] ⚠️ Warning: Amanda #1 and Amanda #4 are 99.2 units apart
[16:36:17] ⚠️ Warning: Amanda #1 and Michael #5 are 96.5 units apart
[16:36:17] ⚠️ CRITICAL: Amanda #1 and Chris #8 are 36.3 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: Amanda #1 and Robert #8 are 70.4 units apart
[16:36:17] ⚠️ Warning: Robert #1 and Michael #2 are 97.9 units apart
[16:36:17] ⚠️ Warning: Robert #1 and John #4 are 92.9 units apart
[16:36:17] ⚠️ Warning: Robert #1 and Robert #4 are 76.8 units apart
[16:36:17] ⚠️ Warning: Robert #1 and Robert #7 are 53.5 units apart
[16:36:17] ⚠️ Warning: Robert #1 and David #8 are 90.5 units apart
[16:36:17] ⚠️ CRITICAL: Robert #1 and Emily #9 are 19.2 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: Lisa #1 and Jane #4 are 93.4 units apart
[16:36:17] ⚠️ CRITICAL: Lisa #1 and Robert #5 are 42.9 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: Lisa #1 and Sarah #8 are 76.1 units apart
[16:36:17] ⚠️ Warning: Lisa #1 and David #10 are 80.6 units apart
[16:36:17] ⚠️ CRITICAL: John #2 and Jane #2 are 45.9 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: John #2 and Sarah #3 are 56.8 units apart
[16:36:17] ⚠️ Warning: John #2 and Chris #7 are 84.0 units apart
[16:36:17] ⚠️ Warning: John #2 and John #8 are 84.9 units apart
[16:36:17] ⚠️ Warning: John #2 and Emily #8 are 96.8 units apart
[16:36:17] ⚠️ Warning: Jane #2 and Sarah #3 are 81.5 units apart
[16:36:17] ⚠️ Warning: Jane #2 and Emily #6 are 62.7 units apart
[16:36:17] ⚠️ Warning: Jane #2 and Jane #9 are 61.4 units apart
[16:36:17] ⚠️ Warning: Jane #2 and Robert #10 are 80.1 units apart
[16:36:17] ⚠️ Warning: Michael #2 and Lisa #2 are 67.1 units apart
[16:36:17] ⚠️ Warning: Michael #2 and Amanda #4 are 70.0 units apart
[16:36:17] ⚠️ Warning: Michael #2 and Robert #4 are 78.7 units apart
[16:36:17] ⚠️ Warning: Michael #2 and Chris #8 are 91.7 units apart
[16:36:17] ⚠️ CRITICAL: Michael #2 and Robert #8 are 34.4 units apart - COLLISION RISK!
[16:36:17] ⚠️ CRITICAL: Sarah #2 and Emily #3 are 44.3 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: Sarah #2 and Michael #4 are 84.7 units apart
[16:36:17] ⚠️ Warning: Sarah #2 and John #5 are 94.4 units apart
[16:36:17] ⚠️ Warning: Sarah #2 and Sarah #7 are 92.2 units apart
[16:36:17] ⚠️ Warning: Sarah #2 and Chris #8 are 87.7 units apart
[16:36:17] ⚠️ Warning: David #2 and Emily #3 are 65.0 units apart
[16:36:17] ⚠️ Warning: David #2 and Sarah #7 are 60.7 units apart
[16:36:17] ⚠️ CRITICAL: David #2 and Chris #9 are 20.3 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: David #2 and Michael #10 are 76.4 units apart
[16:36:17] ⚠️ Warning: Emily #2 and Chris #3 are 85.4 units apart
[16:36:17] ⚠️ Warning: Emily #2 and Robert #3 are 56.1 units apart
[16:36:17] ⚠️ Warning: Emily #2 and Lisa #7 are 81.8 units apart
[16:36:17] ⚠️ Warning: Chris #2 and David #10 are 64.2 units apart
[16:36:17] ⚠️ Warning: Amanda #2 and Lisa #2 are 95.4 units apart
[16:36:17] ⚠️ Warning: Amanda #2 and Amanda #4 are 93.8 units apart
[16:36:17] ⚠️ Warning: Amanda #2 and Robert #5 are 98.5 units apart
[16:36:17] ⚠️ CRITICAL: Amanda #2 and Lisa #8 are 38.5 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: Amanda #2 and Amanda #9 are 53.5 units apart
[16:36:17] ⚠️ Warning: Robert #2 and John #3 are 55.2 units apart
[16:36:17] ⚠️ Warning: Robert #2 and Lisa #4 are 87.1 units apart
[16:36:17] ⚠️ Warning: Robert #2 and Emily #5 are 61.7 units apart
[16:36:17] ⚠️ Warning: Robert #2 and Sarah #6 are 74.0 units apart
[16:36:17] ⚠️ Warning: Robert #2 and David #6 are 90.5 units apart
[16:36:17] ⚠️ Warning: Robert #2 and Lisa #6 are 94.7 units apart
[16:36:17] ⚠️ Warning: Robert #2 and Jane #7 are 96.1 units apart
[16:36:17] ⚠️ Warning: Robert #2 and Chris #10 are 97.1 units apart
[16:36:17] ⚠️ CRITICAL: Lisa #2 and Amanda #4 are 8.4 units apart - COLLISION RISK!
[16:36:17] ⚠️ CRITICAL: Lisa #2 and Robert #8 are 33.8 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: John #3 and Lisa #4 are 52.4 units apart
[16:36:17] ⚠️ Warning: John #3 and Sarah #6 are 69.2 units apart
[16:36:17] ⚠️ Warning: John #3 and Jane #10 are 92.7 units apart
[16:36:17] ⚠️ Warning: John #3 and Chris #10 are 69.0 units apart
[16:36:17] ⚠️ Warning: Jane #3 and Sarah #5 are 95.2 units apart
[16:36:17] ⚠️ CRITICAL: Jane #3 and Emily #7 are 36.3 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: Jane #3 and Emily #10 are 61.7 units apart
[16:36:17] ⚠️ Warning: Michael #3 and Robert #3 are 96.2 units apart
[16:36:17] ⚠️ CRITICAL: Michael #3 and Michael #7 are 16.0 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: Michael #3 and Lisa #7 are 66.1 units apart
[16:36:17] ⚠️ Warning: Sarah #3 and Lisa #3 are 58.0 units apart
[16:36:17] ⚠️ Warning: Sarah #3 and John #8 are 74.2 units apart
[16:36:17] ⚠️ Warning: Sarah #3 and John #10 are 74.1 units apart
[16:36:17] ⚠️ CRITICAL: David #3 and Jane #6 are 24.9 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: David #3 and Amanda #7 are 73.2 units apart
[16:36:17] ⚠️ Warning: David #3 and David #9 are 97.6 units apart
[16:36:17] ⚠️ Warning: David #3 and Lisa #10 are 55.4 units apart
[16:36:17] ⚠️ Warning: Emily #3 and Michael #4 are 87.2 units apart
[16:36:17] ⚠️ Warning: Emily #3 and John #5 are 94.2 units apart
[16:36:17] ⚠️ Warning: Emily #3 and Sarah #7 are 51.7 units apart
[16:36:17] ⚠️ Warning: Emily #3 and Chris #9 are 84.0 units apart
[16:36:17] ⚠️ Warning: Chris #3 and Robert #3 are 75.2 units apart
[16:36:17] ⚠️ Warning: Amanda #3 and John #9 are 66.7 units apart
[16:36:17] ⚠️ Warning: Amanda #3 and Sarah #9 are 66.6 units apart
[16:36:17] ⚠️ CRITICAL: Robert #3 and Lisa #7 are 49.1 units apart - COLLISION RISK!
[16:36:17] ⚠️ Warning: Lisa #3 and David #6 are 90.9 units apart
[16:36:17] ⚠️ Warning: Lisa #3 and Lisa #6 are 80.0 units apart
[16:36:17] ⚠️ Warning: Lisa #3 and John #8 are 81.2 units apart
[16:36:17] ⚠️ Warning: Lisa #3 and John #10 are 60.0 units apart
[16:36:17] ⚠️ CRITICAL: John #4 and Robert #4 are 48.8 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: John #4 and Robert #7 are 55.4 units apart
[16:36:18] ⚠️ Warning: John #4 and Emily #9 are 76.0 units apart
[16:36:18] ⚠️ Warning: John #4 and Robert #10 are 96.9 units apart
[16:36:18] ⚠️ Warning: Jane #4 and Lisa #8 are 95.6 units apart
[16:36:18] ⚠️ CRITICAL: Michael #4 and John #5 are 10.2 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: Michael #4 and Jane #5 are 85.7 units apart
[16:36:18] ⚠️ Warning: Michael #4 and Sarah #7 are 89.7 units apart
[16:36:18] ⚠️ Warning: Michael #4 and Sarah #8 are 82.2 units apart
[16:36:18] ⚠️ Warning: Sarah #4 and Michael #8 are 76.7 units apart
[16:36:18] ⚠️ Warning: Sarah #4 and Amanda #8 are 71.9 units apart
[16:36:18] ⚠️ CRITICAL: Amanda #4 and Robert #8 are 35.8 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: Robert #4 and Robert #7 are 71.6 units apart
[16:36:18] ⚠️ Warning: Robert #4 and Emily #9 are 68.4 units apart
[16:36:18] ⚠️ CRITICAL: Lisa #4 and Sarah #6 are 41.0 units apart - COLLISION RISK!
[16:36:18] ⚠️ CRITICAL: Lisa #4 and Jane #10 are 46.2 units apart - COLLISION RISK!
[16:36:18] ⚠️ CRITICAL: Lisa #4 and Chris #10 are 17.6 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: John #5 and Jane #5 are 77.5 units apart
[16:36:18] ⚠️ Warning: John #5 and Sarah #7 are 91.5 units apart
[16:36:18] ⚠️ Warning: John #5 and Sarah #8 are 73.5 units apart
[16:36:18] ⚠️ Warning: Jane #5 and Sarah #7 are 91.1 units apart
[16:36:18] ⚠️ Warning: Jane #5 and Sarah #8 are 88.5 units apart
[16:36:18] ⚠️ CRITICAL: Michael #5 and John #6 are 36.4 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: Michael #5 and Chris #8 are 60.7 units apart
[16:36:18] ⚠️ Warning: Michael #5 and Michael #9 are 91.6 units apart
[16:36:18] ⚠️ Warning: Michael #5 and Sarah #10 are 65.5 units apart
[16:36:18] ⚠️ CRITICAL: Sarah #5 and Lisa #5 are 18.8 units apart - COLLISION RISK!
[16:36:18] ⚠️ CRITICAL: Sarah #5 and Amanda #10 are 28.9 units apart - COLLISION RISK!
[16:36:18] ⚠️ CRITICAL: David #5 and Amanda #5 are 47.8 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: Emily #5 and David #6 are 83.8 units apart
[16:36:18] ⚠️ Warning: Emily #5 and Robert #6 are 74.1 units apart
[16:36:18] ⚠️ Warning: Emily #5 and Jane #7 are 54.0 units apart
[16:36:18] ⚠️ Warning: Emily #5 and Chris #7 are 97.6 units apart
[16:36:18] ⚠️ Warning: Amanda #5 and Jane #8 are 71.9 units apart
[16:36:18] ⚠️ CRITICAL: Robert #5 and Sarah #8 are 33.4 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: Lisa #5 and Amanda #7 are 90.6 units apart
[16:36:18] ⚠️ CRITICAL: Lisa #5 and Amanda #10 are 24.8 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: John #6 and Chris #8 are 95.3 units apart
[16:36:18] ⚠️ Warning: John #6 and Michael #9 are 97.6 units apart
[16:36:18] ⚠️ Warning: John #6 and Sarah #10 are 57.3 units apart
[16:36:18] ⚠️ Warning: Jane #6 and Amanda #7 are 92.4 units apart
[16:36:18] ⚠️ Warning: Jane #6 and Lisa #10 are 57.2 units apart
[16:36:18] ⚠️ Warning: Michael #6 and Sarah #6 are 87.7 units apart
[16:36:18] ⚠️ Warning: Michael #6 and Lisa #6 are 95.4 units apart
[16:36:18] ⚠️ Warning: Michael #6 and Jane #10 are 79.3 units apart
[16:36:18] ⚠️ Warning: Sarah #6 and Lisa #6 are 98.9 units apart
[16:36:18] ⚠️ CRITICAL: Sarah #6 and Jane #10 are 33.9 units apart - COLLISION RISK!
[16:36:18] ⚠️ CRITICAL: Sarah #6 and Chris #10 are 36.2 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: David #6 and Robert #6 are 56.2 units apart
[16:36:18] ⚠️ CRITICAL: David #6 and Lisa #6 are 48.9 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: David #6 and Jane #7 are 51.9 units apart
[16:36:18] ⚠️ Warning: David #6 and Chris #7 are 76.1 units apart
[16:36:18] ⚠️ CRITICAL: David #6 and John #8 are 38.6 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: David #6 and Emily #8 are 99.9 units apart
[16:36:18] ⚠️ CRITICAL: David #6 and John #10 are 33.0 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: Emily #6 and Jane #9 are 61.0 units apart
[16:36:18] ⚠️ CRITICAL: Emily #6 and Robert #10 are 34.9 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: Chris #6 and Emily #8 are 95.3 units apart
[16:36:18] ⚠️ CRITICAL: Chris #6 and Michael #9 are 49.9 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: Chris #6 and Robert #9 are 83.8 units apart
[16:36:18] ⚠️ Warning: Chris #6 and Sarah #10 are 69.2 units apart
[16:36:18] ⚠️ Warning: Amanda #6 and David #8 are 61.9 units apart
[16:36:18] ⚠️ CRITICAL: Robert #6 and Jane #7 are 20.6 units apart - COLLISION RISK!
[16:36:18] ⚠️ CRITICAL: Robert #6 and Chris #7 are 26.2 units apart - COLLISION RISK!
[16:36:18] ⚠️ CRITICAL: Robert #6 and John #8 are 46.1 units apart - COLLISION RISK!
[16:36:18] ⚠️ CRITICAL: Robert #6 and Emily #8 are 44.6 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: Robert #6 and John #10 are 70.4 units apart
[16:36:18] ⚠️ Warning: Lisa #6 and Jane #7 are 99.2 units apart
[16:36:18] ⚠️ Warning: Lisa #6 and John #8 are 77.6 units apart
[16:36:18] ⚠️ Warning: Lisa #6 and John #10 are 53.1 units apart
[16:36:18] ⚠️ CRITICAL: Jane #7 and Chris #7 are 46.1 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: Jane #7 and John #8 are 56.6 units apart
[16:36:18] ⚠️ Warning: Jane #7 and Emily #8 are 59.5 units apart
[16:36:18] ⚠️ Warning: Jane #7 and John #10 are 75.0 units apart
[16:36:18] ⚠️ Warning: Michael #7 and Lisa #7 are 68.6 units apart
[16:36:18] ⚠️ Warning: Sarah #7 and Chris #9 are 70.0 units apart
[16:36:18] ⚠️ CRITICAL: David #7 and John #9 are 36.6 units apart - COLLISION RISK!
[16:36:18] ⚠️ CRITICAL: Emily #7 and Emily #10 are 29.5 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: Chris #7 and John #8 are 52.5 units apart
[16:36:18] ⚠️ CRITICAL: Chris #7 and Emily #8 are 26.7 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: Chris #7 and John #10 are 80.9 units apart
[16:36:18] ⚠️ Warning: Amanda #7 and Jane #8 are 70.1 units apart
[16:36:18] ⚠️ Warning: Amanda #7 and David #9 are 83.4 units apart
[16:36:18] ⚠️ Warning: Amanda #7 and Amanda #10 are 72.1 units apart
[16:36:18] ⚠️ CRITICAL: Robert #7 and Emily #9 are 34.5 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: John #8 and Emily #8 are 79.1 units apart
[16:36:18] ⚠️ CRITICAL: John #8 and John #10 are 28.8 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: Jane #8 and Lisa #9 are 77.2 units apart
[16:36:18] ⚠️ CRITICAL: Michael #8 and Amanda #8 are 5.1 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: David #8 and Amanda #9 are 89.1 units apart
[16:36:18] ⚠️ Warning: Emily #8 and Lisa #9 are 84.7 units apart
[16:36:18] ⚠️ CRITICAL: Lisa #8 and Amanda #9 are 18.6 units apart - COLLISION RISK!
[16:36:18] ⚠️ CRITICAL: Jane #9 and Robert #10 are 45.3 units apart - COLLISION RISK!
[16:36:18] ⚠️ CRITICAL: Michael #9 and Sarah #10 are 45.3 units apart - COLLISION RISK!
[16:36:18] ⚠️ Warning: Chris #9 and Michael #10 are 57.1 units apart
[16:36:18] ⚠️ Warning: Robert #9 and Sarah #10 are 75.5 units apart
[16:36:18] ⚠️ CRITICAL: Jane #10 and Chris #10 are 29.7 units apart - COLLISION RISK!
[16:36:18] Robert #1 moving 🚀 Southwest (678 units)
[16:36:18] Jane #6 moving 🚀 Northeast (405 units)
[16:36:18] Sarah #3 moving 🚀 Southeast (603 units)
[16:36:18] Sarah #4 moving 🚀 Southwest (603 units)
[16:36:19] Sarah #2 moving 🚀 Southwest (620 units)
[16:36:19] Amanda #3 moving 🚀 Southeast (790 units)
[16:36:19] Robert #6 moving 🚀 West (276 units)
[16:36:19] ⚠️ CRITICAL: John #1 and Amanda #5 are 15.8 units apart - COLLISION RISK!
[16:36:19] ⚠️ Warning: John #1 and Jane #8 are 78.9 units apart
[16:36:19] ⚠️ Warning: John #1 and Robert #9 are 90.1 units apart
[16:36:19] ⚠️ Warning: John #1 and Lisa #9 are 58.2 units apart
[16:36:19] ⚠️ Warning: John #1 and Sarah #10 are 65.3 units apart
[16:36:19] ⚠️ Warning: Jane #1 and Michael #3 are 57.2 units apart
[16:36:19] ⚠️ Warning: Jane #1 and Chris #3 are 93.8 units apart
[16:36:19] ⚠️ CRITICAL: Jane #1 and Robert #3 are 15.1 units apart - COLLISION RISK!
[16:36:19] ⚠️ Warning: Jane #1 and Michael #7 are 79.3 units apart
[16:36:19] ⚠️ Warning: Jane #1 and Lisa #7 are 57.5 units apart
[16:36:19] ⚠️ Warning: Michael #1 and Sarah #2 are 98.4 units apart
[16:36:19] ⚠️ CRITICAL: Michael #1 and Amanda #2 are 35.8 units apart - COLLISION RISK!
[16:36:19] ⚠️ CRITICAL: Michael #1 and Lisa #2 are 49.6 units apart - COLLISION RISK!
[16:36:19] ⚠️ CRITICAL: Michael #1 and Amanda #4 are 22.7 units apart - COLLISION RISK!
[16:36:19] ⚠️ Warning: Michael #1 and John #5 are 56.7 units apart
[16:36:19] ⚠️ Warning: Michael #1 and Sarah #8 are 67.0 units apart
